date,pm2.5,pm10,o3,no2,so2,co
2016-08-29,,,,,,
2016-08-30,,,,,,
2016-08-31,,,,,,
2016-09-01,,,,,,
2016-09-02,,,,,,
2016-09-03,,,,,,
2016-09-04,,,,,,
2016-09-05,,,,,,
2016-09-06,,,,,,
2016-09-07,,,,,,
2016-09-08,,,,,,
2016-09-09,,,,,,
2016-09-10,,,,,,
2016-09-11,,,,,,
2016-09-12,,,,,,
2016-09-13,,,,,,
2016-09-14,,,,,,
2016-09-15,,,,,,
2016-09-16,,,,,,
2016-09-17,,,,,,
2016-09-18,,,,,,
2016-09-19,,,,,,
2016-09-20,,,,,,
2016-09-21,,,,,,
2016-09-22,,,,,,
2016-09-23,,,,,,
2016-09-24,,,,,,
2016-09-25,,,,,,
2016-09-26,,,,,,
2016-09-27,,,,,,
2016-09-28,,,,,,
2016-09-29,,,,,,
2016-09-30,,,,,,
2016-10-01,,,,,,
2016-10-02,,,,,,
2016-10-03,,,,,,
2016-10-04,,,,,,
2016-10-05,,,,,,
2016-10-06,,,,,,
2016-10-07,,,,,,
2016-10-08,,,,,,
2016-10-09,,,,,,
2016-10-10,,,,,,
2016-10-11,,,,,,
2016-10-12,,,,,,
2016-10-13,,,,,,
2016-10-14,,,,,,
2016-10-15,,,,,,
2016-10-16,,,,,,
2016-10-17,,,,,,
2016-10-18,,13,25,9,,
2016-10-19,51,15,153,15,,
2016-10-20,58,14,164,18,,
2016-10-21,54,15,168,16,,
2016-10-22,55,10,245,17,,
2016-10-23,42,11,179,13,,
2016-10-24,45,8,168,12,,
2016-10-25,33,5,197,12,,
2016-10-26,22,7,213,11,,
2016-10-27,34,6,140,13,,
2016-10-28,27,7,114,12,,
2016-10-29,30,8,106,10,,
2016-10-30,31,5,192,10,,
2016-10-31,22,4,151,10,,
2016-11-01,17,7,139,8,,
2016-11-02,32,8,110,8,,
2016-11-03,35,10,92,9,,
2016-11-04,46,11,85,14,,
2016-11-05,48,17,99,14,,
2016-11-06,64,7,177,11,,
2016-11-07,28,4,217,12,,
2016-11-08,20,4,211,10,,
2016-11-09,17,7,122,13,,
2016-11-10,30,5,73,9,,
2016-11-11,18,3,76,12,,
2016-11-12,11,6,110,12,,
2016-11-13,28,9,144,13,,
2016-11-14,36,9,116,18,,
2016-11-15,35,8,85,15,,
2016-11-16,34,9,101,14,,
2016-11-17,37,8,138,9,,
2016-11-18,35,4,134,11,,
2016-11-19,18,7,155,13,,
2016-11-20,31,4,149,12,,
2016-11-21,16,5,166,10,,
2016-11-22,21,5,127,14,,
2016-11-23,20,5,172,11,,
2016-11-24,23,6,132,11,,
2016-11-25,24,4,83,12,,
2016-11-26,19,4,82,11,,
2016-11-27,19,4,53,8,,
2016-11-28,16,10,54,13,,
2016-11-29,40,8,73,8,,
2016-11-30,34,8,68,8,,
2016-12-01,35,12,59,9,,
2016-12-02,52,6,78,10,,
2016-12-03,26,9,114,9,,
2016-12-04,40,9,92,8,,
2016-12-05,38,15,90,10,,
2016-12-06,59,23,75,11,,
2016-12-07,65,12,77,10,,
2016-12-08,50,14,66,13,,
2016-12-09,55,21,70,18,,
2016-12-10,71,22,76,16,,
2016-12-11,73,11,58,14,,
2016-12-12,39,9,105,16,,
2016-12-13,37,5,125,10,,
2016-12-14,24,5,121,9,,
2016-12-15,21,8,80,8,,
2016-12-16,35,13,64,8,,
2016-12-17,54,13,54,10,,
2016-12-18,53,9,54,14,,
2016-12-19,41,11,73,17,,
2016-12-20,43,13,119,17,,
2016-12-21,47,13,111,16,,
2016-12-22,49,7,97,11,,
2016-12-23,30,17,88,12,,
2016-12-24,63,6,86,12,,
2016-12-25,25,17,83,21,,
2016-12-26,59,12,70,15,,
2016-12-27,46,11,55,12,,
2016-12-28,47,14,52,12,,
2016-12-29,56,8,50,12,,
2016-12-30,35,7,52,13,,
2016-12-31,26,3,54,16,,
2017-01-01,16,,,,,
2017-01-02,,8,54,4,,
2017-01-03,37,10,58,18,,
2017-01-04,41,10,57,14,,
2017-01-05,45,17,24,16,,
2017-01-06,62,13,25,15,,
2017-01-07,50,16,25,15,,
2017-01-08,59,10,20,16,,
2017-01-09,42,12,21,15,,
2017-01-10,47,11,26,16,,
2017-01-11,43,10,29,12,,
2017-01-12,41,11,26,15,,
2017-01-13,44,,,,,
2017-01-14,,6,13,19,,
2017-01-15,18,,,,,
2017-01-16,,,,,,
2017-01-17,,,,,,
2017-01-18,,,,,,
2017-01-19,,,,,,
2017-01-20,,10,29,12,,
2017-01-21,43,8,31,15,,
2017-01-22,36,9,32,16,,
2017-01-23,38,17,20,21,,
2017-01-24,64,,,,,
2017-01-25,,,,,,
2017-01-26,,,,,,
2017-01-27,,,,,,
2017-01-28,,,,,,
2017-01-29,,,,,,
2017-01-30,,,,,,
2017-01-31,,,,,,
2017-02-01,,,,,,
2017-02-02,,,,,,
2017-02-03,,,,,,
2017-02-04,,,,,,
2017-02-05,,,,,,
2017-02-06,,,,,,
2017-02-07,,,,,,
2017-02-08,,,,,,
2017-02-09,,,,,,
2017-02-10,,,,,,
2017-02-11,,,,,,
2017-02-12,,,,,,
2017-02-13,,,,,,
2017-02-14,,,,,,
2017-02-15,,,,,,
2017-02-16,,,,,,
2017-02-17,,,,,,
2017-02-18,,,,,,
2017-02-19,,,,,,
2017-02-20,,,,,,
2017-02-21,,,,,,
2017-02-22,,,11,6,,
2017-02-23,,,21,15,,
2017-02-24,,,18,14,,
2017-02-25,,,23,13,,
2017-02-26,,,26,12,,
2017-02-27,,,22,12,,
2017-02-28,,,29,17,,
2017-03-01,,,34,13,,
2017-03-02,,,18,21,,
2017-03-03,,,41,15,,
2017-03-04,,,39,18,,
2017-03-05,,,32,14,,
2017-03-06,,,15,19,,
2017-03-07,,,26,12,,
2017-03-08,,,,,,
2017-03-09,,,,,,
2017-03-10,,,24,10,,
2017-03-11,,,30,15,,
2017-03-12,,,18,16,,
2017-03-13,,,15,5,,
2017-03-14,,,20,11,,
2017-03-15,,,20,13,,
2017-03-16,,,24,10,,
2017-03-17,,,23,12,,
2017-03-18,,,30,9,,
2017-03-19,,,24,10,,
2017-03-20,,,29,14,,
2017-03-21,,,34,12,,
2017-03-22,,,34,12,,
2017-03-23,,,27,13,,
2017-03-24,,,39,9,,
2017-03-25,,,37,14,,
2017-03-26,,,22,10,,
2017-03-27,,,26,14,,
2017-03-28,,,32,17,,
2017-03-29,,,28,22,,
2017-03-30,,1,24,16,,
2017-03-31,4,,32,14,,
2017-04-01,,,44,7,,
2017-04-02,,,37,14,,
2017-04-03,,,37,17,,
2017-04-04,,,32,17,,
2017-04-05,,,33,13,,
2017-04-06,,,28,12,,
2017-04-07,,,31,11,,
2017-04-08,,,27,12,,
2017-04-09,,,26,13,,
2017-04-10,,,29,19,,
2017-04-11,,,40,24,,
2017-04-12,,,52,16,,
2017-04-13,,,36,12,,
2017-04-14,,,31,17,,
2017-04-15,,,36,12,,
2017-04-16,,,31,12,,
2017-04-17,,,28,13,,
2017-04-18,,,29,13,,
2017-04-19,,,33,14,,
2017-04-20,,,38,23,,
2017-04-21,,,44,24,,
2017-04-22,,,27,,,
2017-04-23,,,,,,
2017-04-24,,,,,,
2017-04-25,,,,13,,
2017-04-26,,,32,17,,
2017-04-27,,,36,17,,
2017-04-28,,,37,11,,
2017-04-29,,,35,12,,
2017-04-30,,,33,14,,
2017-05-01,,,35,10,,
2017-05-02,,,41,11,,
2017-05-03,,,87,16,,
2017-05-04,,,78,11,,
2017-05-05,,,66,14,,
2017-05-06,,,46,17,,
2017-05-07,,,99,12,,
2017-05-08,,,46,13,,
2017-05-09,,,43,13,,
2017-05-10,,,57,14,,
